team,url,ncaa_id,stats_name,twitter,team_state,conference,division
Incarnate Word,https://uiwcardinals.com/sports/womens-basketball,2743,Incarnate Word,uiwwbb,TX,Southland,I
Louisiana Monroe,https://ulmwarhawks.com/sports/womens-basketball,498,La.-Monroe,ulm_wbb,LA,Sun Belt,I
Massachusetts,https://umassathletics.com/sports/womens-basketball,400,Massachusetts,umasswbb,MA,Atlantic 10,I
UMBC,https://umbcretrievers.com/sports/womens-basketball,391,Umbc,umbcwbb,MD,America East,I
Maryland,https://umterps.com/sports/womens-basketball,392,Maryland,TerpsWBB,MD,Big Ten,I
Northern Colorado,https://uncbears.com/sports/womens-basketball,502,Northern Colo.,unc_bearswbb,CO,Big Sky,I
UNC Asheville,https://uncabulldogs.com/sports/womens-basketball,456,UNC Asheville,uncavlwbb,NC,Big South,I
UNC Greensboro,https://uncgspartans.com/sports/womens-basketball,459,UNC Greensboro,uncgwbb,NC,SoCon,I
North Carolina,https://goheels.com/sports/womens-basketball,457,North Carolina,uncwbb,NC,ACC,I
New Hampshire,https://unhwildcats.com/sports/womens-basketball,469,New Hampshire,unhwbb,NH,America East,I
Northern Iowa,https://unipanthers.com/sports/womens-basketball,504,Uni,uniwbb,IA,MVC,I
New Mexico,https://golobos.com/sports/wbball,473,New Mexico,unmlobowbb,NM,Mountain West,I
Southern Cal,https://usctrojans.com/sports/womens-basketball,657,Southern California,uscwbb,CA,Pac-12,I
San Diego,https://usdtoreros.com/sports/womens-basketball,627,San Diego,usdwbb,CA,WCC,I
Texas-El Paso,https://utepminers.com/sports/womens-basketball,704,Utep,utepwbb,TX,C-USA,I
UT Martin,https://utmsports.com/sports/womens-basketball,695,UT Martin,utmartinwbb,TN,OVC,I
UT-Rio Grande Valley,https://goutrgv.com/sports/womens-basketball,536,Utrgv,utrgvwbb,TX,WAC,I
UT-San Antonio,https://goutsa.com/sports/womens-basketball,706,Utsa,utsawbb,TX,C-USA,I
Vermont,https://uvmathletics.com/sports/womens-basketball,738,Vermont,uvmwbb,VT,America East,I
Utah Valley,https://gouvu.com/sports/womens-basketball,30024,Utah Valley,uvuwbb,UT,WAC,I
Washington,https://gohuskies.com/sports/womens-basketball,756,Washington,uw_wbb,WA,Pac-12,I
Valparaiso,https://valpoathletics.com/sports/womens-basketball,735,Valparaiso,valpowbb,IN,MVC,I
Vanderbilt,https://vucommodores.com/sports/wbball,736,Vanderbilt,vandywbb,TN,SEC,I
Weber State,https://weberstatesports.com/sports/womens-basketball,758,Weber St.,weberstatewbb,UT,Big Sky,I
Winthrop,https://winthropeagles.com/sports/womens-basketball,792,Winthrop,winthropwbb,SC,Big South,I
William & Mary,https://tribeathletics.com/sports/womens-basketball,786,William & Mary,wmtribewbb,VA,CAA,I
Western Michigan,https://wmubroncos.com/sports/womens-basketball,774,Western Mich.,wmu_wbb,MI,MAC,I
Wofford,https://woffordterriers.com/sports/womens-basketball,2915,Wofford,wofford_wbb,SC,SoCon,I
West Virginia,https://wvusports.com/sports/womens-basketball,768,West Virginia,WVUWBB,WV,Big 12,I
Gonzaga,https://gozags.com/sports/womens-basketball,260,Gonzaga,zagwbb,WA,WCC,I
Akron,https://gozips.com/sports/womens-basketball,5,Akron,zipswbb,OH,MAC,I
Cal State LA,https://lagoldeneagles.com/sports/womens-basketball,100,Cal State LA,CalStateLAWBB1,CA,CCAA,II
Carson-Newman,https://www.cneagles.com/sports/w-baskbl,1000,Carson-Newman,CNwbasketball,TN,SAC,II
Catawba,https://catawbaathletics.com/sports/womens-basketball,1001,Catawba,catawba_wbb,NC,SAC,II
Central Okla.,https://bronchosports.com/sports/womens-basketball,1009,Central Okla.,UCOWBB,OK,Mid-America Intercollegiate,II
CSUN,https://gomatadors.com/sports/womens-basketball,101,Csun,CSUNWBB,CA,Big West,I
Central Wash.,https://wildcatsports.com/sports/womens-basketball,1010,Central Wash.,cwu_wbb,WA,Great Northwest,II
Chadron St.,https://chadroneagles.com/sports/womens-basketball,1012,Chadron St.,ChadronEagles,NE,RMAC,II
Charleston (WV),https://ucgoldeneagles.com/sports/womens-basketball,1013,Charleston (WV),ucwv_wbb,WV,MEC,II
Christian Brothers,https://cbubucs.com/sports/womens-basketball,1015,Christian Brothers,cbubucswbb,TN,Gulf South,II
Coker,https://www.cokercobras.com/sports/wbkb,1023,Coker,Coker_WBB,SC,SAC,II
Concord,https://cumountainlions.com/sports/womens-basketball,1028,Concord,CU_WBB,WV,MEC,II
Concordia Wisconsin,https://cuwfalcons.com/sports/womens-basketball,1036,Concordia Wisconsin,CUWWBB,WI,NACC,III
USC Upstate,https://upstatespartans.com/sports/womens-basketball,10411,USC Upstate,upstateWBB,SC,Big South,I
Defiance,https://www.defianceathletics.com/sports/wbkb,1050,Defiance,DCWB_,OH,HCAC,III
Drury,https://drurypanthers.com/sports/womens-basketball,1057,Drury,DULadyPanthers,MO,GLVC,II
D'Youville,https://dyusaints.com/sports/womens-basketball,1059,D'Youville,dy_wbb,NY,ECC,II
Cal U (PA),https://calvulcans.com/sports/womens-basketball,106,Cal U (PA),CALU_wbb,PA,PSAC,II
East Tex. Baptist,https://goetbutigers.com/sports/womens-basketball,1062,East Tex. Baptist,ETBU_WBSK,TX,ASC,III
Eastern Nazarene,https://athletics.enc.edu/sports/wbkb,1064,Eastern Nazarene,ENCWBB,MA,NECC,III
Edgewood,https://edgewoodcollegeeagles.com/sports/womens-basketball,1066,Edgewood,EdgewoodWbb,WI,NACC,III
Elon,https://elonphoenix.com/sports/womens-basketball,1068,Elon,ElonWBasketball,NC,CAA,I
Emporia St.,https://esuhornets.com/sports/womens-basketball,1071,Emporia St.,LadyHornetWBB,KS,Mid-America Intercollegiate,II
Erskine,https://erskinesports.com/sports/womens-basketball,1072,Erskine,FlyingFleetWBB,SC,Conference Carolinas,II
Fairmont St.,https://fightingfalcons.com/sports/womens-basketball,1076,Fairmont St.,FairmontWbb,WV,MEC,II
Findlay,https://findlayoilers.com/sports/womens-basketball,1079,,UFWBB,OH,G-MAC,II
Fort Lewis,https://goskyhawks.com/sports/womens-basketball,1083,Fort Lewis,FortLewis_WBB,CO,RMAC,II
Francis Marion,https://fmupatriots.com/sports/womens-basketball/,1085,,FM_WBB,SC,Conference Carolinas,II
Shepherd,https://shepherdrams.com/sports/womens-basketball,10870,Shepherd,SURamsWHoops,WV,PSAC,II
Gardner-Webb,https://gwusports.com/sports/womens-basketball,1092,Gardner-Webb,GWU_WBK,NC,Big South,I
George Fox,https://athletics.georgefox.edu/sports/womens-basketball,1094,,GeorgeFoxWBB,OR,NWC,III
Georgia College,https://gcsubobcats.com/sports/womens-basketball,1096,,gcbobcatswbb,GA,Peach Belt,II
Chatham,https://gochathamcougars.com/sports/womens-basketball,10972,Chatham,chathamwbb,PA,PAC,III
Glenville St.,https://gscpioneers.com/sports/womens-basketball,1098,Glenville St.,LadyPioneers_,WV,MEC,II
Alas. Anchorage,https://goseawolves.com/sports/womens-basketball,11,Alas. Anchorage,UAAWBB,AK,Great Northwest,II
Sage Colleges,https://www.sagegators.com/sports/wbkb,11036,,sagewbb,NY,Empire 8,III
Greenville,https://greenvillepanthers.com/sports/womens-basketball,1111,,guwbball,IL,SLIAC,III
Guilford,https://guilfordquakers.com/sports/womens-basketball,1112,,GuilfordWBB,NC,ODAC,III
Hanover,https://athletics.hanover.edu/sports/wbball,1115,Hanover,HanoverWBB,IN,HCAC,III
Harding,https://hardingsports.com/sports/womens-basketball,1116,Harding,Harding_WBB,AR,GAC,II
UC San Diego,https://ucsdtritons.com/sports/womens-basketball,112,UC San Diego,UCSDwbb,CA,Big West,I
Henderson St.,https://hsusports.com/sports/womens-basketball,1123,Henderson St.,ReddiesWBB,AR,GAC,II
Hendrix,https://hendrixwarriors.com/sports/womens-basketball,1124,Hendrix,HX_WBB,AR,SAA,III
Holy Family,https://athletics.holyfamily.edu/sports/womens-basketball,1126,Holy Family,HolyFamily_WBB,PA,CACC,II
S.C. Aiken,https://pacersports.com/sports/womens-basketball,11276,S.C. Aiken,USCAWBB,SC,Peach Belt,II
UC Santa Cruz,https://goslugs.com/sports/womens-basketball,113,,ucscwbb,CA,C2C,III
Huntingdon,https://www.huntingdonhawks.com/sports/wbkb,1130,,HCHawksWBB,AL,CCS,III
Husson,https://hussoneagles.com/sports/womens-basketball,1133,,Hussonwbb,ME,North Atlantic,III
Calvin,https://calvinknights.com/sports/womens-basketball,114,,CalvinWBball,MI,Michigan Intercol. Ath. Assn.,III
Colo. Christian,https://ccucougars.com/sports/womens-basketball,11403,,ccu_wbb,CO,RMAC,II
Colorado Mesa,https://cmumavericks.com/sports/womens-basketball,11416,,CMUWBasketball,CO,RMAC,II
Queens (NC),https://queensathletics.com/sports/womens-basketball,11504,,QueensWBB,NC,ASUN,I
Fontbonne,https://fontbonnegriffins.com/sports/wbkb,11538,,fontbonnewbb,MO,SLIAC,III
Neb.-Kearney,https://lopers.com/sports/womens-basketball,1156,Neb.-Kearney,UNKWBB,NE,Mid-America Intercollegiate,II
Keuka,https://keukaathletics.com/sports/womens-basketball,1159,,KeukaWBB,NY,Empire 8,III
LaGrange,https://lagrangepanthers.com/sports/womens-basketball,1162,,LCPanthers_WBB,GA,CCS,III
Lakeland,https://lakelandmuskies.com/sports/womens-basketball,1164,,MuskiesWBB,WI,NACC,III
Lander,https://landerbearcats.com/sports/wbball,1167,,LanderWBB,NY,Peach Belt,II
Capital,https://athletics.capital.edu/sports/womens-basketball,117,,CapitalWBB,OH,OAC,III
Lenoir-Rhyne,https://lrbears.com/sports/womens-basketball,1170,,LRUWBB,NC,SAC,II
Limestone,https://golimestonesaints.com/sports/womens-basketball,1174,Limestone,LCWBB,SC,SAC,II
West Florida,https://goargos.com/sports/womens-basketball,11740,,UWFWBB,FL,Gulf South,II
Linfield,https://golinfieldwildcats.com/sports/womens-basketball,1179,Linfield,linfieldwbb,OR,NWC,III
Carleton,https://athletics.carleton.edu/sports/womens-basketball,118,Carleton,Carleton_WBB,MN,MIAC,III
Pitt.-Greensburg,https://pittgreensburgathletics.com/sports/womens-basketball,11839,Pitt.-Greensburg,UPG_WBB,PA,AMCC,III
Carnegie Mellon,https://athletics.cmu.edu/sports/wbkb,119,,cmutartanswbb,PA,UAA,III
Marian (WI),https://muknights.com/sports/womens-basketball,1196,,marianwbb,WI,NACC,III
Mars Hill,https://www.marshilllions.com/sports/wbkb,1199,Mars Hill,MarsHill_WBB,NC,SAC,II
Alas. Fairbanks,https://alaskananooks.com/sports/womens-basketball,12,Alas. Fairbanks,NanooksWBB,AK,Great Northwest,II
Carroll (WI),https://gopios.com/sports/womens-basketball,120,,carrollu_wbb,WI,CCIW,III
Mary Hardin-Baylor,https://cruathletics.com/sports/womens-basketball,1203,,cruwomenshoops,TX,ASC,III
Cabrini,https://cabriniathletics.com/sports/womens-basketball,88,,_cwbb,PA,Atlantic East,III
CWRU,https://athletics.case.edu/sports/womens-basketball,122,,CWRUWBB,OH,UAA,III
Albion,https://gobrits.com/sports/womens-basketball,15,,AlbionWBB,MI,Michigan Intercol. Ath. Assn.,III
Montevallo,https://montevallofalcons.com/sports/womens-basketball,1238,,MontevalloWBB,AL,Gulf South,II
Allegheny,https://alleghenygators.com/sports/womens-basketball,19,,AlleghenyWBB,PA,PAC,III
MSU Moorhead,https://www.msumdragons.com/sports/womens-basketball,1240,,MSUM_WBB,MN,NSIC,II
Mount Olive,https://umotrojans.com/sports/womens-basketball,1245,Mount Olive,umowbb,NC,Conference Carolinas,II
Centenary (LA),https://www.gocentenary.com/sports/wbkb,125,Centenary (LA),CentenaryWBB,LA,SCAC,III
Neumann,https://www.neumannathletics.com/sports/womens-basketball,1254,Neumann,NeumannWBB,PA,Atlantic East,III
Newberry,https://newberrywolves.com/sports/womens-basketball,1257,Newberry,newberry_wbb,SC,SAC,II
Northern St.,https://nsuwolves.com/sports/womens-basketball,1266,Northern St.,nsuwolves_wbb,SD,NSIC,II
Northland,https://northlandcollegesports.com/sports/womens-basketball,1267,Northland,jillswbb,WI,UMAC,III
Northwest Nazarene,https://nnusports.com/sports/womens-basketball,1274,Northwest Nazarene,NnuWbb,ID,Great Northwest,II
Wheeling,https://wucardinals.com/sports/womens-basketball,12799,Wheeling,WU_WBB,WV,MEC,II
Northeastern St.,https://goriverhawksgo.com/sports/womens-basketball,12810,Northeastern St.,RiverHawksWBK,OK,Mid-America Intercollegiate,II
Tusculum,https://www.tusculumpioneers.com/sports/wbkb,12830,,TusculumWBB,TN,SAC,II
Centenary (NJ),https://centenarycyclones.com/sports/womens-basketball,12884,,CyclonesWBB,NJ,Atlantic East,III
Ouachita Baptist,https://obutigers.com/sports/womens-basketball,1289,Ouachita Baptist,OBULadyTigers,AR,GAC,II
Central Mo.,https://ucmathletics.com/sports/womens-basketball,130,Central Mo.,UCMWBB,MO,Mid-America Intercollegiate,II
Anderson (SC),https://autrojans.com/sports/womens-basketball,13028,Anderson (SC),AUTrojansWBB,SC,SAC,II
Cairn,https://www.cairnhighlanders.com/sports/womens-basketball,1305,,CairnWBB,PA,CSAC,III
Pittsburg St.,https://pittstategorillas.com/sports/womens-basketball,1314,Pittsburg St.,GorillasWBB,KS,Mid-America Intercollegiate,II
Benedictine (IL),https://benueagles.com/sports/womens-basketball,296,Benedictine (IL),benuwbb,IL,NACC,III
Post,https://posteagles.com/sports/womens-basketball,1318,Post,PostWBB,CT,CACC,II
Centre,https://centrecolonels.com/sports/womens-basketball,132,Centre,CCWBasketball,KY,SAA,III
Rockhurst,https://rockhursthawks.com/sports/womens-basketball,1328,Rockhurst,RockhurstWBB,MO,GLVC,II
Lees-McRae,https://lmcbobcats.com/sports/womens-basketball,13302,Lees-McRae,LMCWBB,NC,Conference Carolinas,II
St. Edward's,https://gohilltoppers.com/sports/womens-basketball,1334,St. Edward's,SEUWBasketball,TX,Lone Star,II
St. Joseph's (L.I.),https://sjliathletics.com/sports/womens-basketball,1340,,sjc_wbb,NY,Skyline,III
Saint Martin's,https://smusaints.com/sports/womens-basketball,1343,Saint Martin's,SMUSaints_WBB,WA,Great Northwest,II
St. Mary's (TX),https://rattlerathletics.com/sports/womens-basketball,1346,St. Mary's (TX),StMUwbb,TX,Lone Star,II
St. Thomas Aquinas,https://www.stacathletics.com/sports/wbkb,1348,,STACWBB,NY,ECC,II
Schreiner,https://schreinermountaineers.com/sports/wbkb,1355,Schreiner,SchreinerWBK,TX,SCAC,III
Blackburn,https://www.blackburnbeavers.com/sports/wbkb,64,Blackburn,Blackburn_WBB,IL,SLIAC,III
Southeastern Okla.,https://gosoutheastern.com/sports/womens-basketball,1371,Southeastern Okla.,SavageStormWBB,OK,GAC,II
Southern Ark.,https://muleriderathletics.com/sports/womens-basketball,1376,Southern Ark.,SAUWBasketball,AR,GAC,II
Chris. Newport,https://www.cnusports.com/sports/womens-basketball,139,,cnuwbb,VA,C2C,III
Sul Ross St.,https://srlobos.com/sports/womens-basketball,1390,,SRSU_WBB,TX,ASC,III
Tarleton St.,https://tarletonsports.com/sports/womens-basketball,1395,Tarleton St.,TarletonWBB,TX,WAC,I
Brockport,https://gobrockport.com/sports/womens-basketball,78,,Brockport_WBB,NY,SUNYAC,III
Tiffin,https://gotiffindragons.com/sports/womens-basketball,1403,,TiffinUwbb,OH,G-MAC,II
Whitworth,https://whitworthpirates.com/sports/womens-basketball,1454,Whitworth,BucWBB,WA,NWC,III
Wayne St. (NE),https://wscwildcats.com/sports/womens-basketball,1433,Wayne St. (NE),WayneStateWBB,NE,NSIC,II
Waynesburg,https://waynesburgsports.com/sports/womens-basketball,1434,Waynesburg,LadyJ_Hoops,PA,PAC,III
West Liberty,https://hilltoppersports.com/sports/womens-basketball,1438,West Liberty,WLU_Hoops,WV,MEC,II
West Virginia St.,https://wvsuyellowjackets.com/sports/womens-basketball,1439,,WVSULadyJackets,WV,MEC,II
Clark Atlanta,https://clarkatlantasports.com/sports/womens-basketball,144,,CAU_WBasketball,GA,SIAC,II
Western N.M.,https://wnmumustangs.com/sports/womens-basketball,1445,,WNMU_WBB,NM,Lone Star,II
Western Ore.,https://wouwolves.com/sports/womens-basketball,1446,Western Ore.,WOUWBB,OR,Great Northwest,II
Western Wash.,https://wwuvikings.com/sports/womens-basketball,1448,Western Wash.,WWUbasketball,WA,Great Northwest,II
Clark (MA),https://clarkathletics.com/sports/womens-basketball,145,,ClarkU_wbb,MA,NEWMAC,III
Carthage,https://athletics.carthage.edu/sports/womens-basketball,121,Carthage,Carthage_WBB,WI,CCIW,III
Castleton,https://castletonsports.com/sports/womens-basketball,123,,CastletonWBB,VT,Little East,III
Clarkson,https://clarksonathletics.com/sports/womens-basketball,146,,Clarkson_WBB,NY,Liberty League,III
Wilmington (OH),https://wilmingtonquakers.com/sports/womens-basketball,1461,,DubC_LQB,OH,OAC,III
Wingate,https://wingatebulldogs.com/sports/womens-basketball,1462,,WingateWBB,NC,SAC,II
Goucher,https://athletics.goucher.edu/sports/wbkb,1467,,GoucherWBB,MD,Landmark,III
Cedar Crest,https://cedarcrestathletics.com/sports/womens-basketball,14795,,cccwbb,PA,CSAC,III
Catholic,https://catholicathletics.com/sports/womens-basketball,124,,CatholicU_WBB,DC,Landmark,III
Coe,https://kohawkathletics.com/sports/womens-basketball,150,,CoeCollegeWBB,IA,American Rivers,III
Colby,https://colbyathletics.com/sports/womens-basketball,151,,ColbyWBB,ME,NESCAC,III
Colorado Col.,https://cctigers.com/sports/womens-basketball,154,,cc_wbb,CO,SCAC,III
Colo. Sch. of Mines,https://minesathletics.com/sports/womens-basketball,155,Colo. Sch. of Mines,MinesWBB,CO,RMAC,II
Colorado St.,https://csurams.com/sports/womens-basketball,156,Colorado St.,CSUWBasketball,CO,Mountain West,I
Rosemont,https://rosemont-ravens.com/sports/womens-basketball,15882,Rosemont,_rosemontwbb,PA,CSAC,III
Columbus St.,https://csucougars.com/sports/womens-basketball,159,Columbus State,CSUCougarsWBB,GA,Peach Belt,II
Albright,https://albrightathletics.com/sports/womens-basketball,16,,AlbrightWBB,PA,MAC Commonwealth,III
Concordia Chicago,https://www.cucougars.com/sports/womens-basketball,160,Concordia Chicago,CUCWBball,IL,NACC,III
Misericordia,https://athletics.misericordia.edu/sports/womens-basketball,16142,,MisericordiaWBB,PA,MAC Freedom,III
Connecticut Col.,https://camelathletics.com/sports/womens-basketball,163,Connecticut Col.,conncollegewbb,CT,NESCAC,III
Cornell College,https://cornellrams.com/sports/womens-basketball,166,,CornellRamsWBB,IA,MWC,III
William Peace,https://gopeacepacers.com/sports/womens-basketball,17094,William Peace,gopeacewbb,NC,USA South,III
Davis & Elkins,https://senatornation.com/sports/womens-basketball,174,Davis & Elkins,Senator_WBB,WV,MEC,II
Claremont-M-S,https://cmsathletics.org/sports/womens-basketball,142,Claremont-M-S,cmswbasketball,CA,SCIAC,III
Delaware Valley,https://athletics.delval.edu/sports/womens-basketball,179,,DVUwbb,PA,MAC Freedom,III
Alfred,https://gosaxons.com/sports/womens-basketball,18,,AU_WBB,NY,Empire 8,III
Delta St.,https://gostatesmen.com/sports/womens-basketball,181,Delta St.,DeltaStateWBB,MS,Gulf South,II
DePauw,https://depauwtigers.com/sports/womens-basketball/,177,,DePauw_WBB,IN,NCAC,III
Denver,https://denverpioneers.com/sports/womens-basketball,183,Denver,DU_WHoops,CO,Summit League,I
Dickinson,https://dickinsonathletics.com/sports/womens-basketball,185,,DickinsonWBB,PA,Centennial,III
Dist. Columbia,https://www.udcfirebirds.com/sports/wbkb,186,,UDC_WBB,DC,ECC,II
Denison,https://denisonbigred.com/sports/womens-basketball,182,Denison,DUWBB,OH,NCAC,III
Drew,https://drewrangers.com/sports/womens-basketball,190,Drew,Rangers_WBB,NJ,Landmark,III
Salem (WV),https://salemtigers.com/sports/womens-basketball,19117,Salem (WV),SU_WBBHoops,WV,DII Independent,II
Dubuque,https://udspartans.com/sports/womens-basketball,192,,UD_WBB,IA,American Rivers,III
Earlham,https://goearlham.com/sports/womens-basketball,195,Earlham,EarlhamWBB,IN,HCAC,III
East Carolina,https://ecupirates.com/sports/womens-basketball,196,East Carolina,ECUWBB,NC,AAC,I
East Stroudsburg,https://esuwarriors.com/sports/womens-basketball,197,East Stroudsburg,ESU_WBB,PA,PSAC,II
Tex. A&M-Commerce,https://lionathletics.com/sports/womens-basketball,199,,Lion_WBB,TX,Southland,I
DeSales,https://athletics.desales.edu/sports/womens-basketball,20,DeSales,desales_wbb,PA,MAC Freedom,III
Eastern Conn. St.,https://gowarriorathletics.com/sports/womens-basketball,200,,EasternWBB,CT,Little East,III
MSOE,https://msoeraiders.com/sports/womens-basketball,20220,,MSOEwbb,WI,NACC,III
East. Mennonite,https://emuroyals.com/sports/womens-basketball,203,,emu_wbb,VA,ODAC,III
Mont. St. Billings,https://msubsports.com/sports/womens-basketball,205,Montana St. Billings,MSUBWBB,MT,Great Northwest,II
Eastern N.M.,https://goeasternathletics.com/sports/womens-basketball,206,Eastern N.M.,ENMUWBB,NM,Lone Star,II
Eckerd,https://eckerdtritons.com/sports/womens-basketball,208,Eckerd,EC_WBB,FL,Sunshine State,II
Edinboro,https://gofightingscots.com/sports/womens-basketball,209,Edinboro,BoroWBB,PA,PSAC,II
Alma,https://almascots.com/sports/womens-basketball,21,,AlmaScotsWBB,MI,Michigan Intercol. Ath. Assn.,III
Elizabethtown,https://etownbluejays.com/sports/womens-basketball,211,Elizabethtown,BlueJaysWBB,PA,Landmark,III
Elmhurst,https://elmhurstbluejays.com/sports/womens-basketball,212,Elmhurst,ElmhurstU_WBB,IL,CCIW,III
Elmira,https://athletics.elmira.edu/sports/womens-basketball,213,,ElmiraWBB,NY,Empire 8,III
Chestnut Hill,https://griffinathletics.com/sports/womens-basketball,21323,Chestnut Hill,CHC_WBB,PA,CACC,II
Emerson,https://emersonlions.com/sports/womens-basketball,214,,EmersonWBBall,MA,NEWMAC,III
Emmanuel (MA),https://goecsaints.com/sports/womens-basketball,215,,EmmanuelHoops,MA,Great Northeast,III
Emory & Henry,https://www.gowasps.com/sports/wbkb,216,Emory & Henry,EHCWBB,VA,SAC,II
Emory,https://emoryathletics.com/sports/womens-basketball,217,,EmoryWBB,GA,UAA,III
Eureka,http://www.eurekareddevils.com/sports/wbkb,218,,wildcatwmnhoops,IL,SLIAC,III
Piedmont,https://piedmontlions.com/sports/womens-basketball,21830,,PiedmontWBB,GA,CCS,III
Stevenson,https://gomustangsports.com/sports/womens-basketball,21852,,StevensonU_WBB,MD,MAC Commonwealth,III
American International,https://aicyellowjackets.com/sports/womens-basketball,22,,AICWBB,MA,NE10,II
FDU-Florham,https://fdudevils.com/sports/womens-basketball,221,FDU-Florham,DevilsWBB,NJ,MAC Freedom,III
Ferris St.,https://www.ferrisstatebulldogs.com/sports/wbkb,224,,FerrisWBBall,MI,GLIAC,II
Ferrum,https://ferrumpanthers.com/sports/womens-basketball,225,,FerrumWBB,VA,ODAC,III
JWU (Providence),https://providence.jwuathletics.com/sports/womens-basketball,22626,,JWUWBasketball,RI,Great Northeast,III
Fitchburg St.,https://www.fitchburgfalcons.com/sports/wbkb,227,,FSU_FalconsWBB,MA,MASCAC,III
Florida A&M,https://famuathletics.com/sports/womens-basketball,228,Florida A&M,FAMU_WBB,FL,SWAC,I
American,https://aueagles.com/sports/womens-basketball,23,American,American_WBB,DC,Patriot,I
Florida Tech,https://floridatechsports.com/sports/womens-basketball,230,Florida Tech,FloridaTechWBB,FL,Sunshine State,II
FIU,https://fiusports.com/sports/womens-basketball,231,Fiu,FIUWBB,FL,C-USA,I
Texas-Dallas,https://utdcomets.com/sports/womens-basketball,23121,UT Dallas,UTDALLAS_WBB,TX,ASC,III
Felician,https://felicianuathletics.com/sports/womens-basketball,23157,,FelicianU_WBB,NJ,CACC,II
Fla. Southern,https://fscmocs.com/sports/womens-basketball,233,Fla. Southern,FSC_WBB,FL,Sunshine State,II
Florida,https://floridagators.com/sports/womens-basketball,235,Florida,GatorsWBK,FL,SEC,I
Medaille,https://medaillesports.com/sports/womens-basketball,23725,Medaille,MedailleWBB,NY,Empire 8,III
Franklin & Marshall,https://godiplomats.com/sports/womens-basketball,239,,FandMWBB,PA,Centennial,III
Franklin Pierce,https://fpuravens.com/sports/womens-basketball,241,,FPURavensWBB,NH,NE10,II
Fredonia,https://fredoniabluedevils.com/sports/womens-basketball,242,,FredoniaWHoops,NY,SUNYAC,III
Frostburg St.,https://frostburgsports.com/sports/womens-basketball,243,Frostburg St.,FROSTBURG_WBB,MD,MEC,II
Lesley,https://lesleyathletics.com/sports/wbkb,24317,,Lesley_WBB,MA,NECC,III
Concordia (TX),https://athletics.concordia.edu/sports/womens-basketball,24400,Concordia (TX),ctxwomensbball,TX,ASC,III
Gannon,https://gannonsports.com/sports/womens-basketball,246,Gannon,GannonWBB,PA,PSAC,II
Nova Southeastern,https://nsusharks.com/sports/womens-basketball,24639,Nova Southeastern,NSU_WBasketball,FL,Sunshine State,II
SUNY Geneseo,https://geneseoknights.com/sports/wbball,247,,GeneseoWBB,NY,SUNYAC,III
Angelo St.,https://angelosports.com/sports/womens-basketball,25,Angelo St.,Belle_Hoops,TX,Lone Star,II
Penn St.-Altoona,https://www.psaltoonalions.com/sports/wbkb,25719,,PSAltoonaWBB,PA,AMCC,III
Gettysburg,https://gettysburgsports.com/sports/womens-basketball,258,,GburgWBB,PA,Centennial,III
Rowan,https://www.rowanathletics.com/sports/womens-basketball,259,Rowan,RowanWBB,NJ,NJAC,III
Grambling,https://gsutigers.com/sports/womens-basketball,261,Grambling,WBB_LadyTigers,LA,SWAC,I
Becker,https://beckerhawks.com/sports/wbkb,26107,,BCLadyhoopHawks,MA,NECC,III
A&M-Corpus Christi,https://goislanders.com/sports/womens-basketball,26172,A&M-Corpus Christi,Islanders_WBB,TX,Southland,I
Grand Valley St.,https://gvsulakers.com/sports/womens-basketball,262,,gvsuwbb,MI,GLIAC,II
Grinnell,https://pioneers.grinnell.edu/sports/womens-basketball,264,,GrinnellWBB,IA,MWC,III
Grove City,https://athletics.gcc.edu/sports/womens-basketball,265,Grove City,GCC_WBB,PA,PAC,III
Gust. Adolphus,https://gogusties.com/sports/womens-basketball,266,,GustavusWBB,MN,MIAC,III
Geneva,https://athletics.geneva.edu/sports/womens-basketball,30084,Geneva,genevawbb,PA,PAC,III
Hamline,https://hamlineathletics.com/sports/womens-basketball,268,Hamline University,HamlineWBB,MN,MIAC,III
Belmont Abbey,https://abbeyathletics.com/sports/womens-basketball,2683,Belmont Abbey,AbbeyWBB,NC,Conference Carolinas,II
Franklin,https://franklingrizzlies.com/sports/womens-basketball,2694,,FCGrizWBB,IN,HCAC,III
IUPUI,https://iupuijags.com/sports/womens-basketball,2699,Iupui,IUPUILadyJags,IN,Horizon,I
Kansas City,https://kcroos.com/sports/womens-basketball,2707,Kansas City,KCRoosWBB,MO,Summit League,I
Hardin-Simmons,https://hsuathletics.com/sports/womens-basketball,271,,cowgirl_bball,TX,ASC,III
Oglethorpe,https://gopetrels.com/sports/womens-basketball,2713,,GoPetrelsWBB,GA,SAA,III
Colorado St.-Pueblo,https://gothunderwolves.com/sports/womens-basketball,2720,Colorado St.-Pueblo,CSUPuebloWBB,CO,RMAC,II
Hartwick,https://www.hartwickhawks.com/sports/womens-basketball,273,,hartwickwbb,NY,Empire 8,III
Howard Payne,https://hpusports.com/sports/womens-basketball,2741,Howard Payne,HPUWBasketball,TX,ASC,III
Lake Erie,https://lakeeriestorm.com/sports/womens-basketball,2746,,lakeeriewbb,OH,G-MAC,II
Pacific (OR),https://goboxers.com/sports/womens-basketball,2751,,PACUWBB,OR,NWC,III
Southwest Baptist,https://www.sbubearcats.com/sports/womens-basketball,2755,Southwest Baptist,SBUbearcatsWBB,MO,GLVC,II
